Diameter,Sadness,Depth,BigSad,d/D,Pain,CWS,What even
11.5483323,11.9508862,0.73035628,0.33785029,0.06417922,0.0264249,7.63068231,2.458567285
11.12824677,12.8136755,1.114089704,0.204252997,0.10486302,0.02659284,10.55863893,1.00450708
9.93994551,10.48327788,0.6889772,0.17125958,0.07394963,0.02669001,8.598622794,4.19148993
9.06053928,5.94032024,0.75613994,0.16848941,0.08594649,0.02721728,10.58450035,1.327110658
9.80201783,9.6214556,0.95584378,0.23387274,0.09977584,0.02751663,10.35622541,4.490394769
11.58598174,10.75025986,1.275225109,0.587908172,0.105525591,0.027642774,9.245469426,4.900125994
12.27340416,12.04142888,1.234965738,0.279796721,0.103020713,0.027652261,11.56537897,4.84066095
15.21240535,15.7442449,1.393258966,0.201852373,0.096478769,0.027684983,20.01990906,2.993076376
11.11178812,7.66478492,1.110222395,0.219022025,0.101948709,0.027718052,10.61925669,3.52515857
10.9490746,7.15757008,1.08556328,0.14891652,0.10193905,0.02791089,13.8256508,0.990028898
14.5837137,10.9750318,1.56501265,0.12867347,0.11104225,0.02816179,11.84331339,2.310498964
8.454463182,7.247727616,0.936422017,0.09973225,0.11498352,0.028317491,16.08270795,3.588112878
10.74811301,16.6202555,1.048600035,0.207897808,0.104626519,0.028476994,14.46928287,2.446668219
7.30782802,5.9708786,0.77771753,0.20813462,0.10845313,0.02868512,12.19935473,1.439269307
7.88326602,5.262343968,0.896229887,0.101280249,0.117203698,0.029056959,18.3840248,5.750074906
10.0762119,7.8135712,0.96665631,0.18050565,0.09866832,0.02906625,8.410676576,2.243041066
10.96831322,16.05410185,1.000010655,0.076984279,0.099136982,0.029225539,14.21956199,4.975582866
7.220017268,7.63836374,1.17298746,0.352491309,0.162978439,0.029798636,20.84708798,8.292020007
7.57529397,1.82042928,1.07941682,0.18404091,0.14356089,0.02980801,16.17041726,2.805381237
8.39539806,4.381590564,0.970353365,0.271385442,0.115837005,0.029814984,17.24069647,1.347483091
8.793333459,3.030046336,1.471926558,0.196196848,0.168760264,0.029850477,18.41959339,2.034115435
5.998647089,3.421247188,0.859759095,0.129066514,0.145734188,0.029945955,17.28783367,5.429048543
7.771790786,10.91679935,1.009945619,0.218378666,0.137409754,0.029972508,11.63134766,3.102894287
10.60656063,12.30993817,1.207608932,0.078085038,0.120161599,0.030317908,12.9390156,5.407763945
9.06456444,12.9880014,0.93218966,0.34978794,0.10636682,0.0305964,16.22740608,1.258870487
5.335223659,3.060803376,1.050613396,0.118707388,0.19918794,0.03070663,23.91677951,2.262923486
8.586901869,12.24811714,0.836928875,0.171641416,0.103617362,0.030737532,14.03794031,6.674560889
11.7435259,15.46379824,0.89547185,0.27526152,0.07998852,0.03079672,8.174180192,1.539446476
8.73722868,7.9883862,1.16095789,0.0412645,0.13810869,0.0310155,19.15437163,4.720694769
8.491633525,8.11790456,1.057738287,0.196267553,0.128777384,0.03111411,10.66251338,5.212437243
8.889786295,4.23406968,1.33102442,0.177306841,0.151947404,0.031426605,18.39733096,3.936376634
6.795777658,6.842605896,0.598406813,0.191750495,0.091897041,0.031682515,12.05149585,3.154831576
8.014528082,5.92085262,0.738289002,0.148828243,0.095854992,0.031966571,17.06029554,3.586287749
6.740158727,2.66782144,0.85286863,0.13427591,0.128828062,0.03222347,19.67446218,4.253095212
11.60467046,15.2998402,1.760656749,0.70648838,0.148558471,0.032295845,15.07939753,3.283185649
7.47078296,3.23252856,0.9276686,0.1258827,0.12678019,0.0324288,15.34144072,3.278796744
5.61897179,3.689623544,0.536429447,0.151268497,0.097813287,0.032470672,8.899472045,4.744294107
10.55986539,14.84760673,0.787863754,0.444921509,0.075095554,0.032676876,9.158005812,1.220015566
8.660500472,8.13953548,1.280686718,0.195091213,0.151901216,0.032953802,17.73557783,8.971617163
8.027414306,3.237361124,1.163440562,0.198828282,0.146618435,0.033091471,14.94138708,1.405306729
6.835003524,7.314175952,0.648410932,0.087554107,0.101335834,0.033098551,8.66218471,4.19108207
10.4234308,5.52928356,1.43953725,0.22608668,0.14078231,0.03342621,16.45928535,2.029629201
5.87062552,6.67393284,0.70267631,0.23724645,0.12008551,0.03368523,14.17974797,3.809987027
7.845123327,4.378954592,0.896170314,0.176662686,0.116890244,0.03377823,11.35441478,3.703050937
7.645041389,7.978471084,1.16122709,0.026398657,0.158417564,0.033854585,20.52411779,4.337901048
16.0734751,17.39624248,2.06146843,0.60162769,0.13241027,0.03495481,15.21448301,1.108637473
7.68579751,10.40968032,0.97732441,0.20888191,0.13388319,0.03514893,17.20978989,2.53121986
